时间,指令,实际
0,3,0
1.00E-06,3,0
2.00E-06,3,0
3.00E-06,3,0
4.00E-06,3,0
5.00E-06,3,0
6.00E-06,3,0
7.00E-06,3,0
8.00E-06,3,0
9.00E-06,3,7.68E-13
1.00E-05,3,6.14E-12
1.10E-05,3,2.07E-11
1.20E-05,3,4.91E-11
1.30E-05,3,9.60E-11
1.40E-05,3,1.66E-10
1.50E-05,3,2.63E-10
1.60E-05,3,3.93E-10
1.70E-05,3,5.59E-10
1.80E-05,3,7.67E-10
1.90E-05,3,1.02E-09
2.00E-05,3,1.33E-09
2.10E-05,3,1.69E-09
2.20E-05,3,2.10E-09
2.30E-05,3,2.59E-09
2.40E-05,3,3.14E-09
2.50E-05,3,3.77E-09
2.60E-05,3,4.47E-09
2.70E-05,3,5.26E-09
2.80E-05,3,6.13E-09
2.90E-05,3,7.10E-09
3.00E-05,3,8.16E-09
3.10E-05,3,9.33E-09
3.20E-05,3,1.06E-08
3.30E-05,3,1.20E-08
3.40E-05,3,1.35E-08
3.50E-05,3,1.51E-08
3.60E-05,3,1.68E-08
3.70E-05,3,1.87E-08
3.80E-05,3,2.07E-08
3.90E-05,3,2.28E-08
4.00E-05,3,2.51E-08
4.10E-05,3,2.75E-08
4.20E-05,3,3.01E-08
4.30E-05,3,3.28E-08
4.40E-05,3,3.57E-08
4.50E-05,3,3.88E-08
4.60E-05,3,4.20E-08
4.70E-05,3,4.54E-08
4.80E-05,3,4.90E-08
4.90E-05,3,5.27E-08
5.00E-05,3,5.67E-08
5.10E-05,3,6.08E-08
5.20E-05,3,6.52E-08
5.30E-05,3,6.97E-08
5.40E-05,3,7.45E-08
5.50E-05,3,7.94E-08
5.60E-05,3,8.46E-08
5.70E-05,3,9.00E-08
5.80E-05,3,9.56E-08
5.90E-05,3,1.01E-07
6.00E-05,3,1.08E-07
6.10E-05,3,1.14E-07
6.20E-05,3,1.20E-07
6.30E-05,3,1.27E-07
6.40E-05,3,1.34E-07
6.50E-05,3,1.42E-07
6.60E-05,3,1.49E-07
6.70E-05,3,1.57E-07
6.80E-05,3,1.65E-07
6.90E-05,3,1.73E-07
7.00E-05,3,1.82E-07
7.10E-05,3,1.91E-07
7.20E-05,3,2.00E-07
7.30E-05,3,2.10E-07
7.40E-05,3,2.20E-07
7.50E-05,3,2.30E-07
7.60E-05,3,2.40E-07
7.70E-05,3,2.51E-07
7.80E-05,3,2.62E-07
7.90E-05,3,2.73E-07
8.00E-05,3,2.85E-07
8.10E-05,3,2.97E-07
8.20E-05,3,3.09E-07
8.30E-05,3,3.22E-07
8.40E-05,3,3.35E-07
8.50E-05,3,3.48E-07
8.60E-05,3,3.62E-07
8.70E-05,3,3.76E-07
8.80E-05,3,3.91E-07
8.90E-05,3,4.05E-07
9.00E-05,3,4.21E-07
9.10E-05,3,4.36E-07
9.20E-05,3,4.52E-07
9.30E-05,3,4.68E-07
9.40E-05,3,4.85E-07
9.50E-05,3,5.02E-07
9.60E-05,3,5.20E-07
9.70E-05,3,5.37E-07
9.80E-05,3,5.56E-07
9.90E-05,3,5.74E-07
0.0001,3,5.93E-07
0.000101,3,6.13E-07
0.000102,3,6.33E-07
0.000103,3,6.53E-07
0.000104,3,6.73E-07
0.000105,3,6.94E-07
0.000106,3,7.16E-07
0.000107,3,7.38E-07
0.000108,3,7.60E-07
0.000109,3,7.82E-07
0.00011,3,8.05E-07
0.000111,3,8.29E-07
0.000112,3,8.53E-07
0.000113,3,8.77E-07
0.000114,3,9.02E-07
0.000115,3,9.27E-07
0.000116,3,9.52E-07
0.000117,3,9.78E-07
0.000118,3,1.00E-06
0.000119,3,1.03E-06
0.00012,3,1.06E-06
0.000121,3,1.09E-06
0.000122,3,1.11E-06
0.000123,3,1.14E-06
0.000124,3,1.17E-06
0.000125,3,1.20E-06
0.000126,3,1.23E-06
0.000127,3,1.26E-06
0.000128,3,1.29E-06
0.000129,3,1.32E-06
0.00013,3,1.36E-06
0.000131,3,1.39E-06
0.000132,3,1.42E-06
0.000133,3,1.45E-06
0.000134,3,1.49E-06
0.000135,3,1.52E-06
